00:00-kor, várakozási ideje: 55 mp, utazási ideje: 10 mp, 11.szintrõl a 10.szintre
00:01-kor, várakozási ideje: 40 mp, utazási ideje: 20 mp, 6.szintrõl a 3.szintre
00:01-kor, várakozási ideje: 45 mp, utazási ideje: 20 mp, 3.szintrõl a 6.szintre
00:01-kor, várakozási ideje: 20 mp, utazási ideje: 65 mp, 6.szintrõl a 9.szintre
00:03-kor, várakozási ideje: 10 mp, utazási ideje: 10 mp, 4.szintrõl a 3.szintre
00:04-kor, várakozási ideje: 20 mp, utazási ideje: 20 mp, 4.szintrõl a 7.szintre
00:04-kor, várakozási ideje: 65 mp, utazási ideje: 35 mp, 12.szintrõl a 6.szintre
00:04-kor, várakozási ideje: 45 mp, utazási ideje: 65 mp, 10.szintrõl a 0.szintre
00:05-kor, várakozási ideje: 30 mp, utazási ideje: 10 mp, 9.szintrõl a 10.szintre
00:06-kor, várakozási ideje: 10 mp, utazási ideje: 60 mp, 0.szintrõl a 8.szintre
00:06-kor, várakozási ideje: 5 mp, utazási ideje: 55 mp, 10.szintrõl a 1.szintre
00:07-kor, várakozási ideje: 20 mp, utazási ideje: 35 mp, 5.szintrõl a 11.szintre
00:08-kor, várakozási ideje: 15 mp, utazási ideje: 20 mp, 7.szintrõl a 10.szintre
00:11-kor, várakozási ideje: 15 mp, utazási ideje: 45 mp, 7.szintrõl a 0.szintre
00:11-kor, várakozási ideje: 5 mp, utazási ideje: 45 mp, 10.szintrõl a 3.szintre
00:12-kor, várakozási ideje: 5 mp, utazási ideje: 65 mp, 1.szintrõl a 11.szintre
00:12-kor, várakozási ideje: 5 mp, utazási ideje: 10 mp, 4.szintrõl a 5.szintre
00:13-kor, várakozási ideje: 5 mp, utazási ideje: 10 mp, 4.szintrõl a 5.szintre
00:13-kor, várakozási ideje: 40 mp, utazási ideje: 15 mp, 3.szintrõl a 1.szintre
00:14-kor, várakozási ideje: 15 mp, utazási ideje: 10 mp, 2.szintrõl a 1.szintre
00:15-kor, várakozási ideje: 30 mp, utazási ideje: 30 mp, 5.szintrõl a 1.szintre
00:15-kor, várakozási ideje: 30 mp, utazási ideje: 80 mp, 4.szintrõl a 12.szintre
00:15-kor, várakozási ideje: 45 mp, utazási ideje: 25 mp, 2.szintrõl a 6.szintre
00:15-kor, várakozási ideje: 120 mp, utazási ideje: 40 mp, 4.szintrõl a 2.szintre
00:16-kor, várakozási ideje: 55 mp, utazási ideje: 45 mp, 11.szintrõl a 4.szintre
00:16-kor, várakozási ideje: 115 mp, utazási ideje: 40 mp, 1.szintrõl a 6.szintre
00:17-kor, várakozási ideje: 65 mp, utazási ideje: 55 mp, 3.szintrõl a 1.szintre
00:19-kor, várakozási ideje: 10 mp, utazási ideje: 40 mp, 5.szintrõl a 11.szintre
00:20-kor, várakozási ideje: 20 mp, utazási ideje: 10 mp, 5.szintrõl a 6.szintre
00:20-kor, várakozási ideje: 20 mp, utazási ideje: 10 mp, 9.szintrõl a 8.szintre
00:21-kor, várakozási ideje: 10 mp, utazási ideje: 10 mp, 4.szintrõl a 3.szintre
00:23-kor, várakozási ideje: 5 mp, utazási ideje: 30 mp, 4.szintrõl a 0.szintre
00:23-kor, várakozási ideje: 15 mp, utazási ideje: 50 mp, 10.szintrõl a 2.szintre
00:24-kor, várakozási ideje: 45 mp, utazási ideje: 45 mp, 8.szintrõl a 0.szintre
00:25-kor, várakozási ideje: 60 mp, utazási ideje: 40 mp, 12.szintrõl a 5.szintre
00:26-kor, várakozási ideje: 50 mp, utazási ideje: 10 mp, 8.szintrõl a 9.szintre
00:26-kor, várakozási ideje: 35 mp, utazási ideje: 25 mp, 11.szintrõl a 7.szintre
00:28-kor, várakozási ideje: 20 mp, utazási ideje: 30 mp, 1.szintrõl a 6.szintre
00:30-kor, várakozási ideje: 15 mp, utazási ideje: 30 mp, 10.szintrõl a 5.szintre
00:31-kor, várakozási ideje: 0 mp, utazási ideje: 30 mp, 6.szintrõl a 11.szintre
00:33-kor, várakozási ideje: 25 mp, utazási ideje: 55 mp, 0.szintrõl a 9.szintre
00:34-kor, várakozási ideje: 5 mp, utazási ideje: 25 mp, 10.szintrõl a 7.szintre
00:34-kor, várakozási ideje: 10 mp, utazási ideje: 10 mp, 8.szintrõl a 7.szintre
00:35-kor, várakozási ideje: 10 mp, utazási ideje: 50 mp, 9.szintrõl a 1.szintre
00:36-kor, várakozási ideje: 20 mp, utazási ideje: 25 mp, 10.szintrõl a 6.szintre
00:36-kor, várakozási ideje: 15 mp, utazási ideje: 50 mp, 1.szintrõl a 9.szintre
00:37-kor, várakozási ideje: 15 mp, utazási ideje: 20 mp, 9.szintrõl a 11.szintre
00:38-kor, várakozási ideje: 20 mp, utazási ideje: 30 mp, 5.szintrõl a 0.szintre
00:39-kor, várakozási ideje: 25 mp, utazási ideje: 40 mp, 5.szintrõl a 10.szintre
00:39-kor, várakozási ideje: 25 mp, utazási ideje: 15 mp, 7.szintrõl a 9.szintre
00:39-kor, várakozási ideje: 50 mp, utazási ideje: 60 mp, 2.szintrõl a 11.szintre
00:41-kor, várakozási ideje: 0 mp, utazási ideje: 15 mp, 10.szintrõl a 12.szintre
00:41-kor, várakozási ideje: 40 mp, utazási ideje: 40 mp, 3.szintrõl a 10.szintre
00:43-kor, várakozási ideje: 0 mp, utazási ideje: 40 mp, 10.szintrõl a 3.szintre
00:44-kor, várakozási ideje: 10 mp, utazási ideje: 15 mp, 10.szintrõl a 12.szintre
00:45-kor, várakozási ideje: 15 mp, utazási ideje: 10 mp, 6.szintrõl a 7.szintre
00:46-kor, várakozási ideje: 10 mp, utazási ideje: 35 mp, 9.szintrõl a 3.szintre
00:48-kor, várakozási ideje: 15 mp, utazási ideje: 55 mp, 9.szintrõl a 0.szintre
00:48-kor, várakozási ideje: 25 mp, utazási ideje: 35 mp, 7.szintrõl a 12.szintre
00:49-kor, várakozási ideje: 70 mp, utazási ideje: 40 mp, 1.szintrõl a 8.szintre
00:50-kor, várakozási ideje: 40 mp, utazási ideje: 95 mp, 7.szintrõl a 10.szintre
00:50-kor, várakozási ideje: 50 mp, utazási ideje: 105 mp, 4.szintrõl a 12.szintre
00:51-kor, várakozási ideje: 40 mp, utazási ideje: 45 mp, 2.szintrõl a 9.szintre
00:51-kor, várakozási ideje: 5 mp, utazási ideje: 40 mp, 9.szintrõl a 3.szintre
00:52-kor, várakozási ideje: 20 mp, utazási ideje: 25 mp, 0.szintrõl a 2.szintre
00:52-kor, várakozási ideje: 30 mp, utazási ideje: 50 mp, 10.szintrõl a 8.szintre
00:52-kor, várakozási ideje: 35 mp, utazási ideje: 65 mp, 2.szintrõl a 12.szintre
00:53-kor, várakozási ideje: 85 mp, utazási ideje: 45 mp, 8.szintrõl a 0.szintre
00:57-kor, várakozási ideje: 15 mp, utazási ideje: 30 mp, 5.szintrõl a 0.szintre
00:57-kor, várakozási ideje: 45 mp, utazási ideje: 25 mp, 7.szintrõl a 3.szintre
00:59-kor, várakozási ideje: 45 mp, utazási ideje: 55 mp, 12.szintrõl a 3.szintre
01:00-kor, várakozási ideje: 35 mp, utazási ideje: 40 mp, 6.szintrõl a 12.szintre
01:02-kor, várakozási ideje: 10 mp, utazási ideje: 35 mp, 10.szintrõl a 4.szintre
01:02-kor, várakozási ideje: 25 mp, utazási ideje: 10 mp, 7.szintrõl a 8.szintre
