00:07-kor, várakozási ideje: 45 mp, utazási ideje: 30 mp, 9.szintrõl a 4.szintre
00:11-kor, várakozási ideje: 40 mp, utazási ideje: 40 mp, 12.szintrõl a 5.szintre
00:23-kor, várakozási ideje: 25 mp, utazási ideje: 55 mp, 10.szintrõl a 0.szintre
00:28-kor, várakozási ideje: 5 mp, utazási ideje: 15 mp, 1.szintrõl a 3.szintre
00:45-kor, várakozási ideje: 30 mp, utazási ideje: 15 mp, 9.szintrõl a 11.szintre
01:10-kor, várakozási ideje: 15 mp, utazási ideje: 20 mp, 3.szintrõl a 6.szintre
01:15-kor, várakozási ideje: 5 mp, utazási ideje: 30 mp, 12.szintrõl a 7.szintre
01:19-kor, várakozási ideje: 20 mp, utazási ideje: 10 mp, 2.szintrõl a 1.szintre
01:35-kor, várakozási ideje: 10 mp, utazási ideje: 10 mp, 3.szintrõl a 2.szintre
01:37-kor, várakozási ideje: 10 mp, utazási ideje: 35 mp, 4.szintrõl a 10.szintre
01:44-kor, várakozási ideje: 20 mp, utazási ideje: 35 mp, 3.szintrõl a 9.szintre
02:05-kor, várakozási ideje: 10 mp, utazási ideje: 15 mp, 12.szintrõl a 10.szintre
02:19-kor, várakozási ideje: 40 mp, utazási ideje: 20 mp, 1.szintrõl a 4.szintre
02:33-kor, várakozási ideje: 10 mp, utazási ideje: 40 mp, 8.szintrõl a 1.szintre
03:24-kor, várakozási ideje: 40 mp, utazási ideje: 65 mp, 12.szintrõl a 0.szintre
03:27-kor, várakozási ideje: 30 mp, utazási ideje: 30 mp, 7.szintrõl a 2.szintre
03:51-kor, várakozási ideje: 0 mp, utazási ideje: 30 mp, 2.szintrõl a 7.szintre
03:57-kor, várakozási ideje: 10 mp, utazási ideje: 25 mp, 5.szintrõl a 1.szintre
04:42-kor, várakozási ideje: 35 mp, utazási ideje: 45 mp, 8.szintrõl a 0.szintre
04:59-kor, várakozási ideje: 40 mp, utazási ideje: 45 mp, 8.szintrõl a 0.szintre
05:18-kor, várakozási ideje: 30 mp, utazási ideje: 30 mp, 6.szintrõl a 11.szintre
05:23-kor, várakozási ideje: 5 mp, utazási ideje: 10 mp, 10.szintrõl a 11.szintre
05:24-kor, várakozási ideje: 0 mp, utazási ideje: 45 mp, 0.szintrõl a 8.szintre
05:30-kor, várakozási ideje: 35 mp, utazási ideje: 55 mp, 1.szintrõl a 11.szintre
05:42-kor, várakozási ideje: 5 mp, utazási ideje: 25 mp, 12.szintrõl a 8.szintre
06:24-kor, várakozási ideje: 5 mp, utazási ideje: 45 mp, 12.szintrõl a 4.szintre
06:27-kor, várakozási ideje: 5 mp, utazási ideje: 40 mp, 9.szintrõl a 2.szintre
06:33-kor, várakozási ideje: 40 mp, utazási ideje: 30 mp, 12.szintrõl a 7.szintre
06:33-kor, várakozási ideje: 30 mp, utazási ideje: 70 mp, 12.szintrõl a 0.szintre
06:35-kor, várakozási ideje: 20 mp, utazási ideje: 35 mp, 8.szintrõl a 2.szintre
06:38-kor, várakozási ideje: 30 mp, utazási ideje: 25 mp, 8.szintrõl a 4.szintre
06:57-kor, várakozási ideje: 15 mp, utazási ideje: 20 mp, 7.szintrõl a 10.szintre
07:03-kor, várakozási ideje: 0 mp, utazási ideje: 30 mp, 0.szintrõl a 5.szintre
08:21-kor, várakozási ideje: 5 mp, utazási ideje: 25 mp, 4.szintrõl a 8.szintre
08:28-kor, várakozási ideje: 20 mp, utazási ideje: 25 mp, 4.szintrõl a 8.szintre
09:04-kor, várakozási ideje: 35 mp, utazási ideje: 10 mp, 1.szintrõl a 0.szintre
09:18-kor, várakozási ideje: 25 mp, utazási ideje: 30 mp, 5.szintrõl a 10.szintre
09:28-kor, várakozási ideje: 5 mp, utazási ideje: 45 mp, 11.szintrõl a 3.szintre
10:08-kor, várakozási ideje: 40 mp, utazási ideje: 40 mp, 11.szintrõl a 4.szintre
10:09-kor, várakozási ideje: 55 mp, utazási ideje: 30 mp, 10.szintrõl a 5.szintre
10:11-kor, várakozási ideje: 15 mp, utazási ideje: 50 mp, 1.szintrõl a 10.szintre
10:39-kor, várakozási ideje: 20 mp, utazási ideje: 20 mp, 1.szintrõl a 4.szintre
10:51-kor, várakozási ideje: 10 mp, utazási ideje: 35 mp, 6.szintrõl a 12.szintre
10:59-kor, várakozási ideje: 45 mp, utazási ideje: 60 mp, 1.szintrõl a 12.szintre
11:15-kor, várakozási ideje: 0 mp, utazási ideje: 50 mp, 12.szintrõl a 3.szintre
11:29-kor, várakozási ideje: 10 mp, utazási ideje: 30 mp, 5.szintrõl a 10.szintre
11:39-kor, várakozási ideje: 0 mp, utazási ideje: 55 mp, 12.szintrõl a 2.szintre
11:48-kor, várakozási ideje: 20 mp, utazási ideje: 30 mp, 6.szintrõl a 2.szintre
11:49-kor, várakozási ideje: 0 mp, utazási ideje: 20 mp, 2.szintrõl a 5.szintre
11:50-kor, várakozási ideje: 0 mp, utazási ideje: 15 mp, 2.szintrõl a 0.szintre
11:52-kor, várakozási ideje: 10 mp, utazási ideje: 35 mp, 2.szintrõl a 8.szintre
12:17-kor, várakozási ideje: 25 mp, utazási ideje: 40 mp, 0.szintrõl a 7.szintre
12:31-kor, várakozási ideje: 35 mp, utazási ideje: 10 mp, 0.szintrõl a 1.szintre
12:45-kor, várakozási ideje: 5 mp, utazási ideje: 55 mp, 0.szintrõl a 10.szintre
12:52-kor, várakozási ideje: 5 mp, utazási ideje: 10 mp, 9.szintrõl a 8.szintre
13:09-kor, várakozási ideje: 25 mp, utazási ideje: 10 mp, 3.szintrõl a 4.szintre
13:16-kor, várakozási ideje: 0 mp, utazási ideje: 10 mp, 10.szintrõl a 9.szintre
13:19-kor, várakozási ideje: 20 mp, utazási ideje: 10 mp, 0.szintrõl a 1.szintre
13:20-kor, várakozási ideje: 0 mp, utazási ideje: 60 mp, 1.szintrõl a 12.szintre
13:47-kor, várakozási ideje: 45 mp, utazási ideje: 55 mp, 0.szintrõl a 10.szintre
14:13-kor, várakozási ideje: 40 mp, utazási ideje: 45 mp, 2.szintrõl a 10.szintre
14:18-kor, várakozási ideje: 10 mp, utazási ideje: 10 mp, 8.szintrõl a 9.szintre
14:23-kor, várakozási ideje: 45 mp, utazási ideje: 65 mp, 0.szintrõl a 12.szintre
14:43-kor, várakozási ideje: 20 mp, utazási ideje: 30 mp, 8.szintrõl a 3.szintre
14:46-kor, várakozási ideje: 10 mp, utazási ideje: 25 mp, 1.szintrõl a 5.szintre
15:05-kor, várakozási ideje: 5 mp, utazási ideje: 10 mp, 6.szintrõl a 5.szintre
15:13-kor, várakozási ideje: 0 mp, utazási ideje: 45 mp, 12.szintrõl a 4.szintre
15:15-kor, várakozási ideje: 10 mp, utazási ideje: 15 mp, 2.szintrõl a 4.szintre
15:25-kor, várakozási ideje: 5 mp, utazási ideje: 10 mp, 6.szintrõl a 5.szintre
15:38-kor, várakozási ideje: 0 mp, utazási ideje: 20 mp, 5.szintrõl a 8.szintre
15:54-kor, várakozási ideje: 15 mp, utazási ideje: 25 mp, 1.szintrõl a 5.szintre
16:20-kor, várakozási ideje: 10 mp, utazási ideje: 10 mp, 10.szintrõl a 9.szintre
16:55-kor, várakozási ideje: 5 mp, utazási ideje: 20 mp, 6.szintrõl a 3.szintre
17:00-kor, várakozási ideje: 15 mp, utazási ideje: 25 mp, 6.szintrõl a 3.szintre
